"CM033Q01T","CM474Q01T","CM155Q01T","CM411Q01T","CM803Q01T","CM034Q01T","CM305Q01T","CM496Q01T","CM423Q01T","CM603Q01T","CM571Q01T","CM564Q01T"
11.7712353677635,10.1852772992831,10.892917215767,11.4824456387163,10.9645191158688,11.0410160208124,10.3717396487431,11.3567861424365,9.7562628327796,10.8194382265972,11.6780245629686,10.7693477756109
10.5623020540156,10.7885971669267,11.3959196272173,11.4501134525584,10.8561680711932,11.2246832356599,11.8027178092314,11.6082538264274,9.67388569116087,11.4430822320284,10.9527170014373,10.7095838821026
10.7284740700014,10.4836060027981,11.1516255566386,8.47114925291483,11.4769458936375,11.5047118251957,10.2785965406294,8.87486763568805,9.61092693263324,10.7571579224286,9.32268643180772,10.2795238499535
10.9791723365605,10.2827797863403,11.2801733993769,11.5092988969145,10.9395327089354,12.0667416103012,11.5397718540789,11.1883027447062,12.123462478084,11.3617769408272,11.562324967265,10.5802004266326
10.8673105148556,10.4572577166274,7.49609734517596,11.5618203855573,11.7175628282476,11.5325810226287,11.4656975798072,11.2184872880214,9.81536646914095,11.1746375810586,10.8542956464358,8.57319538153152
10.1921941000341,10.3434184975256,10.9363516998822,11.8310300442333,10.9181746062665,11.8184744689379,12.6323007039904,11.3799082258604,10.2491318823258,10.3525547870142,10.5176997450079,10.1565781802183
10.9431456983606,10.4638173712052,11.0575660833882,12.2203502339483,11.0113898881113,12.6429136741466,11.4463368438129,11.6839079770942,10.0073970159266,12.0368015596805,11.2573491104273,10.555057244929
11.5734277263598,10.3580919702046,11.017448118151,11.7548829196601,11.1355666484098,12.2785653853268,11.5831695533587,10.891615108029,10.0765160624185,10.7247640608066,11.1163655873326,11.0327421985826
10.4867082537175,10.425994681076,10.9585136130413,11.7623447652967,11.0775319363201,11.6929527252108,10.7045021039651,11.8143477074569,9.14099029384139,11.5110937884746,11.3879742995474,10.6675590714328
11.4351476903981,10.5087593465941,11.0498736160091,11.8602740533427,11.9143022271698,11.1865718618702,10.8779905871586,11.2688008422673,10.5382903221218,11.0464994285009,10.1482751719082,10.7092488774652
10.7374613259211,10.3134093813612,10.1133432095234,10.9894704248041,10.4366420217852,11.3120936454172,11.8921561057741,11.0825578472449,9.74648280372596,11.5608771825034,11.423963095122,10.3464089976882
10.2891240330101,9.80421955087746,10.7208636162358,10.6829271016611,12.5111279260393,11.1741185050023,11.3307678947297,11.3178590362279,9.44651860156085,11.3061349705688,11.7807287572263,8.58372971521648
11.3435714648006,11.4399998704556,11.5780388208586,11.976716083374,11.0554826177694,11.3057290789855,10.3874557221322,11.3157298355768,10.7744879885505,12.3115671522108,11.3891633401318,11.2854098701872
10.3258425533126,10.1358683092028,10.9670079261547,12.7213214724938,10.7094275605712,11.3241350300277,11.0814961861843,10.9042664808555,10.0678572682719,11.4581101861969,11.6447253594166,10.1962317905802
10.094190553358,11.2917175391238,10.7334793808239,11.5866776595569,11.4161502124708,11.217829309335,10.406865511167,11.5024204803251,9.95370526869675,11.6276906180632,9.98336101511929,11.4814657571519
10.6049500646998,10.3054130703458,13.5118806589162,11.8840268456504,11.2111850352674,10.1131810561259,9.55965831946135,8.99355158629998,10.1024203751353,9.03085479000144,9.22749243079375,11.1474692208813
10.3809321787698,10.6214249019033,7.60389796852188,11.6815452463672,10.8628186165991,11.3569731631963,11.6615178690201,11.1201346970031,9.31874624581997,10.5613442863175,9.95189669174382,10.4349683812272
10.5978839524965,10.6069810251502,10.543893021838,11.6682183493763,10.9216487168066,11.0027662857474,11.4188015812384,10.4008631285777,9.88098628718961,11.3207717303428,11.2390279474891,10.3240382980623
10.6658809058329,10.2543908726516,8.08948247436075,11.6113671002823,11.0039814032889,11.6674817768034,11.9307340776096,11.3387149247652,9.57540006544931,11.3423862232874,10.8645795511148,9.24927258197797
10.7193168596962,10.8169944130337,10.6212785640088,11.6037254892967,10.9673358487679,12.0046722394495,12.2425974202125,11.6599911050743,9.90807700486994,11.0253605347788,11.6135668630881,10.4846131931023
10.6279880407541,10.0964192884421,11.3025747354548,10.6673494546813,11.3614977411976,11.5025316357862,10.658364626228,10.5571139749338,9.53184399290347,11.7245226123841,11.5740675999125,8.55101473989175
10.1416773393889,10.5371235536725,12.1402159226129,11.5170768360927,10.9802120414462,10.7335883880948,11.1186524906162,10.0167715939895,10.0468950158309,10.725423647929,11.2351277145924,11.3422676218356
10.1115174660403,10.3568535406288,11.2400925953687,11.4043486715205,11.7413828727082,11.7311127542842,10.961277846684,10.990634363095,10.5838280768266,11.5382325228967,11.4967351055715,11.7985479178611
9.93991590914968,10.6825142197394,7.04577657687951,11.4316720246556,11.3341217134375,11.158932635231,12.1013730225458,11.6840596761236,9.54301971035869,11.2659629817955,11.8673007667577,10.0331113203296
9.8028381443862,10.202183746251,7.41938058291869,11.8546766007959,11.8326365870595,10.8679968566808,10.4663551903292,10.5618362275534,9.47876316948915,11.2791885010701,9.74290791786058,11.3306719058644
9.92461283415108,10.0714988712123,10.7202231073407,11.4712176615704,11.3411164571928,12.0319275700204,10.7329777942734,11.3397023911615,9.45587144216802,11.3051999426344,11.0395882856152,10.3183747992232
9.60197697214781,10.4962893981472,11.2111715130741,11.4696421104539,11.1317675293263,11.987580758431,11.331799193538,7.75276480885133,10.0113998097305,11.6069530043611,11.0639942447418,11.1522568426177
11.0742499456042,11.0539171649311,10.4722046547179,11.7260348419165,12.0575958387987,12.259556538803,11.8469661764,10.5073115951359,9.68371331869152,11.556023267873,12.6392501922049,10.9465166566272
10.4740150195482,10.5442882527239,10.5463935166593,11.1618064866022,10.9792064423909,11.655006455404,11.8347190670508,11.760511841583,9.67338232488837,11.7195249142237,11.5039250827729,11.0943447217147
11.3268609118974,10.3325715262429,10.876290934234,11.50161170507,10.6399815375994,11.4344989505525,11.2512359727927,10.90430323948,10.8509862115345,11.5336884153223,11.65661879972,11.0886902962853
10.300214594701,10.2520295132447,10.3258097777107,11.1048820358473,10.8939762525142,10.620766212671,10.5491761819364,10.2433113093909,10.0659464802338,11.1584195954592,10.2867411342791,8.19726337141434
9.91916403192114,10.0600638595782,10.6876630314436,12.5357216568033,11.3702898976871,11.0779491534877,11.2340577648837,11.505094885855,10.7544714682096,11.734660024121,10.8988297317168,11.1449728811218
10.568878056051,9.73648801183996,10.5233917713284,11.8268160735901,11.0153779621501,11.921552236416,11.2454119659201,8.84707231256781,9.41099288545486,11.2558889826328,11.430586790247,10.60888439865
10.8564958673454,11.0865788477822,11.3182357367008,12.0572187462935,11.3602287276561,12.1470919841699,11.5635520371479,11.7229837767358,9.75051118293664,11.866360164984,11.6941297311608,10.7851040204763
11.3772660955225,10.4748060247309,11.8335586375617,11.6233391916246,10.4846970798552,11.587336962484,11.5459442938274,11.4602311896671,9.6547056290419,11.4792652634776,11.5379302239598,11.1318114477259
10.4727990420212,9.95103885439435,10.6501044074497,11.5306180245011,10.4880189247176,11.1676425278704,11.0109604696364,11.1138200908146,9.67281573480113,11.398030754085,11.0521907463448,10.268130666124
10.4559636275573,11.784333327932,8.3030093814735,11.6187798586502,11.2930141842367,11.001132707014,11.7184181522842,11.9222962692409,9.80576446400751,11.8322370098795,11.6480680589125,8.31581113188354
10.8655734919807,10.5634656717046,10.7012874983577,11.4669234104084,11.3888577218467,11.7279803913808,11.2792516646828,10.9848519477947,9.23853902633486,11.3457841037713,10.9964170580687,10.6335209927627
10.300214594701,11.8947943592232,11.6042367507541,11.6467393176991,11.740507153169,12.0948281867134,11.6932199686795,11.5941459403415,9.85266783020615,12.020321213433,11.7395031130187,8.6628507638386
